Attributes,High,Low,Open,Close,Volume,Adj Close
Symbols,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2018-08-01,201.75999450683594,197.30999755859375,199.1300048828125,201.5,67935700.0,200.0976104736328
2018-08-02,208.3800048828125,200.35000610351562,200.5800018310547,207.38999938964844,62404000.0,205.94662475585938
2018-08-03,208.74000549316406,205.47999572753906,207.02999877929688,207.99000549316406,33447400.0,206.54244995117188
2018-08-06,209.25,207.07000732421875,208.0,209.07000732421875,25425400.0,207.61492919921875
2018-08-07,209.5,206.75999450683594,209.32000732421875,207.11000061035156,25587400.0,205.6685791015625
2018-08-08,207.80999755859375,204.52000427246094,206.0500030517578,207.25,22525500.0,205.80760192871094
2018-08-09,209.77999877929688,207.1999969482422,207.27999877929688,208.8800048828125,23469200.0,207.42625427246094
2018-08-10,209.10000610351562,206.6699981689453,207.36000061035156,207.52999877929688,24611200.0,206.80841064453125
2018-08-13,210.9499969482422,207.6999969482422,207.6999969482422,208.8699951171875,25869100.0,208.1437530517578
2018-08-14,210.55999755859375,208.25999450683594,210.16000366210938,209.75,20748000.0,209.02069091796875
2018-08-15,210.74000549316406,208.3300018310547,209.22000122070312,210.24000549316406,28807600.0,209.5089874267578
2018-08-16,213.80999755859375,211.47000122070312,211.75,213.32000732421875,28500400.0,212.5782928466797
2018-08-17,217.9499969482422,213.16000366210938,213.44000244140625,217.5800018310547,35427000.0,216.82347106933594
2018-08-20,219.17999267578125,215.11000061035156,218.10000610351562,215.4600067138672,30287700.0,214.71084594726562
2018-08-21,217.19000244140625,214.02999877929688,216.8000030517578,215.0399932861328,26159800.0,214.29229736328125
2018-08-22,216.36000061035156,213.83999633789062,214.10000610351562,215.0500030517578,19018100.0,214.30226135253906
2018-08-23,217.0500030517578,214.60000610351562,214.64999389648438,215.49000549316406,18883200.0,214.74073791503906
2018-08-24,216.89999389648438,215.11000061035156,216.60000610351562,216.16000366210938,18476400.0,215.4084014892578
2018-08-27,218.74000549316406,216.3300018310547,217.14999389648438,217.94000244140625,20525100.0,217.18222045898438
2018-08-28,220.5399932861328,218.9199981689453,219.00999450683594,219.6999969482422,22776800.0,218.93609619140625
2018-08-29,223.49000549316406,219.41000366210938,220.14999389648438,222.97999572753906,27254800.0,222.20468139648438
2018-08-30,228.25999450683594,222.39999389648438,223.25,225.02999877929688,48793800.0,224.24755859375
2018-08-31,228.8699951171875,226.0,226.50999450683594,227.6300048828125,43340100.0,226.83853149414062
2018-09-04,229.17999267578125,226.6300048828125,228.41000366210938,228.36000061035156,27390100.0,227.56597900390625
2018-09-05,229.6699981689453,225.10000610351562,228.99000549316406,226.8699951171875,33333000.0,226.08116149902344
2018-09-06,227.35000610351562,221.3000030517578,226.22999572753906,223.10000610351562,34290000.0,222.32427978515625
2018-09-07,225.3699951171875,220.7100067138672,221.85000610351562,221.3000030517578,37619800.0,220.53053283691406
2018-09-10,221.85000610351562,216.47000122070312,220.9499969482422,218.3300018310547,39516500.0,217.57086181640625
2018-09-11,224.3000030517578,216.55999755859375,218.00999450683594,223.85000610351562,35749000.0,223.07167053222656
2018-09-12,225.0,219.83999633789062,224.94000244140625,221.07000732421875,49278700.0,220.3013458251953
2018-09-13,228.35000610351562,222.57000732421875,223.52000427246094,226.41000366210938,41706400.0,225.62277221679688
2018-09-14,226.83999633789062,222.52000427246094,225.75,223.83999633789062,31999300.0,223.0616912841797
2018-09-17,222.9499969482422,217.27000427246094,222.14999389648438,217.8800048828125,37195100.0,217.12242126464844
2018-09-18,221.85000610351562,217.1199951171875,217.7899932861328,218.24000549316406,31571700.0,217.48117065429688
2018-09-19,219.6199951171875,215.3000030517578,218.5,218.3699951171875,27123800.0,217.6107177734375
2018-09-20,222.27999877929688,219.14999389648438,220.24000549316406,220.02999877929688,26608800.0,219.26495361328125
2018-09-21,221.36000061035156,217.2899932861328,220.77999877929688,217.66000366210938,96246700.0,216.9031982421875
2018-09-24,221.25999450683594,216.6300048828125,216.82000732421875,220.7899932861328,27693400.0,220.0222930908203
2018-09-25,222.82000732421875,219.6999969482422,219.75,222.19000244140625,24554400.0,221.4174346923828
2018-09-26,223.75,219.75999450683594,221.0,220.4199981689453,23984700.0,219.65359497070312
2018-09-27,226.44000244140625,223.5399932861328,223.82000732421875,224.9499969482422,30181200.0,224.16783142089844
2018-09-28,225.83999633789062,224.02000427246094,224.7899932861328,225.74000549316406,22929400.0,224.95509338378906
2018-10-01,229.4199981689453,226.35000610351562,227.9499969482422,227.25999450683594,23600800.0,226.4698028564453
2018-10-02,230.0,226.6300048828125,227.25,229.27999877929688,24788200.0,228.4827880859375
2018-10-03,233.47000122070312,229.77999877929688,230.0500030517578,232.07000732421875,28654800.0,231.26309204101562
2018-10-04,232.35000610351562,226.72999572753906,230.77999877929688,227.99000549316406,32042000.0,227.19728088378906
2018-10-05,228.41000366210938,220.5800018310547,227.9600067138672,224.2899932861328,33580500.0,223.5101318359375
2018-10-08,224.8000030517578,220.1999969482422,222.2100067138672,223.77000427246094,29663900.0,222.991943359375
2018-10-09,227.27000427246094,222.25,223.63999938964844,226.8699951171875,26891000.0,226.08116149902344
2018-10-10,226.35000610351562,216.0500030517578,225.4600067138672,216.36000061035156,41990600.0,215.6077117919922
2018-10-11,219.5,212.32000732421875,214.52000427246094,214.4499969482422,53124400.0,213.704345703125
2018-10-12,222.8800048828125,216.83999633789062,220.4199981689453,222.11000061035156,40337900.0,221.3377227783203
2018-10-15,221.8300018310547,217.27000427246094,221.16000366210938,217.36000061035156,30791000.0,216.60423278808594
2018-10-16,222.99000549316406,216.75999450683594,218.92999267578125,222.14999389648438,29184000.0,221.3775634765625
2018-10-17,222.63999938964844,219.33999633789062,222.3000030517578,221.19000244140625,22885400.0,220.42091369628906
2018-10-18,219.74000549316406,213.0,217.86000061035156,216.02000427246094,32581300.0,215.26889038085938
